alpha,arousal1,betha,theta,gamma,valence1
3.17,0.32,4.96,5.35,5.18,-0.01
3.63,0.28,5.01,5.49,5.1,0
3.83,0.26,5.1,5.42,5.18,-0.01
3.85,0.26,4.97,5.35,5.23,-0.01
3.91,0.26,5.06,5.28,5.3,0
3.95,0.25,5.02,5.24,5.32,0
4.02,0.25,4.96,5.41,5.33,0
4.06,0.25,4.92,5.46,5.33,0
4.05,0.25,5.01,5.43,5.34,0
4.07,0.25,5.01,5.44,5.31,0
4.14,0.24,5.1,5.33,5.28,0
4.06,0.25,5.17,5,5.17,-0.01
3.79,0.26,5.1,4.84,5.12,-0.01
3.59,0.28,5.11,4.79,5,0
3.61,0.28,5.18,4.67,4.92,0.01
3.73,0.27,5.18,4.67,4.88,0.01
3.75,0.27,5.2,4.54,4.74,0.01
3.65,0.27,5.19,4.05,4.68,0
3.45,0.29,5.18,3.6,4.46,0.01
3.43,0.29,5.12,3.46,4.67,0.02
3.4,0.29,5.02,3.26,4.63,0.03
3.32,0.3,4.87,3.05,4.41,0.05
3.31,0.3,4.9,2.94,4.9,0.06
3.33,0.3,5.05,3.02,4.99,0.07
3.5,0.29,4.97,3.43,5.1,0.09
3.66,0.27,4.85,3.54,5.11,0.1
3.58,0.28,4.76,3.48,5.16,0.12
3.5,0.29,5.29,3.7,5.7,0.13
3.62,0.28,5.46,3.82,5.83,0.1
3.96,0.25,5.49,3.85,5.83,0.06
4.16,0.24,5.5,3.91,5.76,0.03
4.16,0.24,5.96,3.94,5.99,0.03
4.14,0.24,6.16,3.98,6.13,0.04
4.27,0.23,6.22,4.1,6.11,0.03
4.39,0.23,6.23,4.21,6.12,0.02
4.36,0.23,6.32,4.12,6.11,0
4.26,0.23,6.44,4.11,6.13,-0.01
4.22,0.24,6.39,4.05,6.16,-0.01
4.28,0.23,6.33,4,5.94,-0.01
