alpha,arousal1,betha,theta,gamma,valence1,'Stimuli (Audio)',Respuesta
2.56,0.39,3.3,2.71,2.19,-0.17,Agressive,Sad
2.47,0.4,3.2,3.11,2.24,-0.19,Agressive,Sad
2.39,0.42,3.1,3.28,2.21,-0.21,Agressive,Sad
2.26,0.44,3.13,3.29,2.21,-0.23,Agressive,Sad
2.2,0.45,3.2,3.31,2.21,-0.22,Agressive,Sad
2.17,0.46,3.14,3.37,2.08,-0.22,Agressive,Sad
2.14,0.47,3.1,3.45,2.09,-0.23,Agressive,Sad
2.21,0.45,3.04,3.52,2.08,-0.21,Agressive,Sad
2.21,0.45,2.86,3.53,1.93,-0.18,Agressive,Sad
2.22,0.45,2.57,3.51,1.99,-0.17,Agressive,Sad
2.25,0.44,2.58,3.49,2.02,-0.14,Agressive,Sad
2.25,0.44,2.91,3.36,1.84,-0.12,Agressive,Sad
2.23,0.45,3.08,3.11,1.86,-0.11,Agressive,Sad
2.25,0.44,3.17,2.96,1.97,-0.1,Agressive,Sad
2.32,0.43,3.2,2.96,1.96,-0.07,Agressive,Sad
2.42,0.41,3.23,2.93,1.98,-0.04,Agressive,Sad
2.79,0.36,3.22,2.97,1.97,-0.03,Agressive,Sad
2.99,0.33,3.31,2.95,1.94,-0.03,Agressive,Sad
2.95,0.34,3.27,2.86,1.98,-0.03,Agressive,Sad
2.93,0.34,3.27,2.92,1.97,-0.03,Agressive,Sad
2.91,0.34,3.27,3.07,1.92,-0.04,Agressive,Sad
2.89,0.35,3.15,3.02,1.91,-0.04,Agressive,Sad
2.92,0.34,2.99,3.11,1.91,-0.04,Agressive,Sad
4.97,0.2,4.06,6.82,3.36,0,Calm,Calm
4.8,0.21,3.73,6.82,3.27,0,Calm,Calm
4.75,0.21,3.62,6.81,3.23,-0.01,Calm,Calm
4.65,0.21,3.62,6.76,3.24,0,Calm,Calm
4.37,0.23,3.62,6.73,3.2,-0.01,Calm,Calm
4.25,0.24,3.21,6.74,2.6,-0.01,Calm,Calm
4.12,0.24,3,6.66,2.49,-0.01,Calm,Calm
